Designator,Footprint,Quantity,Value,LCSC Part #
A1,RASPI_ZERO_FULL,1,Raspberry Pi Zero v1.3,
"C1, C10, C17, C18, C19, C20, C21, C22, C23, C4, C5, C6, C7, C9",0603,14,0.1uFx50V,C282519
"C11, C15, C16",0603,3,10uFx10V,C2959727
"C12, C13, C14, C3, C8",CP_Elec_6.3x5.4,5,100uFx16V,C129250
C2,0603,1,0.01uFx50V,C100042
"D1, D2, D3, D4, D6, D7, D8, D9",0603,8,LTST-S270KGKT,C125113
"D10, D11, D12, D13, D14, D15, D16, D17",D_SOD-523,8,ESD5Z3.3T5G,C22440077
D5,0603,1,LTST-S270KRKT,C125114
F1,1206,1,MF-NSMF200-2,C89656
"H1, H2, H3, H4",MountingHole_3.2mm_M3_keepouts,4,MountingHole,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A-120,C709358
J2,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C2977589
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1, HC-1.0-4PWT,C2845363
J4,JST_SM06B-SRSS-TB,1,SM06B-SRSS-TB,C160405
"J5, J6, J7",GCT_USB1125-GF-B_REVA,3,USB_A,C5984324
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
"K1, K2, K3, K4",Relay_DPDT_Kemet_EC2,4,EC2-5SNU,C2153173
"R1, R12, R13, R14, R15, R2, R3, R4",0603,8,820k,C2907070
"R10, R11",0603,2,5.1k,C2907114
"R16, R17, R20, R25, R5, R6, R8, R9",0603,8,120k,C2930027
"R18, R19, R21, R22, R23, R24, R26, R27, R35, R36, R37, R42, R43",0603,13,10k,C2907113
R28,0603,1,100R,C2907089
"R29, R30, R31, R32, R33, R34, R39, R40, R41",0603,9,330R,C23138
R38,0603,1,2.7k,C13167
R7,0603,1,1M,C107698
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9535PWR,C22396388
"U10, U11, U12, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,ZXBM5210-S,C20627211
"U13, U19",SOIC-8_3.9x4.9mm_P1.27mm,2,MIC2026-2xM,C148072
"U14, U15, U16, U17",SOT-23-6,4,USBLC6-2SC6,C5180249
U18,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,C9359
"U2, U7",TSSOP-10_3x3mm_P0.5mm,2,ADS1015IDGS,C193969
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,C5590
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C70565
