Designator,Mid X,Mid Y,Rotation,Layer
A1,92.4,14.8795,0.0,bottom
C1,73.0875,19.9,0.0,top
C10,107.975,15.0,180.0,top
C11,93.1,13.6,0.0,top
C12,132.5,11.4,0.0,top
C13,122.8,18.6,0.0,top
C14,77.15,5.5,90.0,top
C15,107.975,13.5,180.0,top
C16,93.1,12.1,0.0,top
C17,138.5,10.725,90.0,top
C18,130.0,18.2,90.0,top
C19,80.4,10.7,270.0,top
C2,141.7,5.2,90.0,top
C20,20.8,23.45,0.0,top
C21,28.5,23.45,0.0,top
C22,36.1,23.45,0.0,top
C23,43.7,23.45,0.0,top
C3,122.8,11.4,0.0,top
C4,116.5,6.1,90.0,top
C5,14.0,11.925,270.0,top
C6,10.4,18.025,90.0,top
C7,7.8,23.7,270.0,top
C8,54.1,11.0,270.0,top
C9,58.7,9.0,270.0,top
D1,22.6,0.7,180.0,top
D10,64.5,20.7,0.0,top
D11,64.5,19.2,0.0,top
D12,64.515,17.7,0.0,top
D13,64.5,16.2,0.0,top
D14,64.5,13.7,0.0,top
D15,64.5,12.2,0.0,top
D16,64.5,10.7,0.0,top
D17,64.5,9.2,0.0,top
D2,30.25,0.7,180.0,top
D3,37.9,0.7,180.0,top
D4,45.55,0.7,180.0,top
D5,107.9,0.7,180.0,top
D6,79.9,0.7,180.0,top
D7,149.4,6.7,270.0,top
D8,74.335,0.7,180.0,top
D9,142.5,29.3,0.0,top
F1,126.3,6.6,180.0,top
J1,133.95,2.91,0.0,top
J2,34.105,3.5,270.0,bottom
J3,3.0,15.0,270.0,top
J4,54.1,24.8,180.0,top
J5,142.097,15.0,90.0,top
J6,133.95,22.2345,180.0,top
J7,88.5,7.8655,0.0,top
K1,22.6725,16.198,0.0,top
K2,30.2725,16.198,0.0,top
K3,37.8725,16.198,0.0,top
K4,45.4725,16.198,0.0,top
R1,8.1,15.725,0.0,top
R10,127.7,2.1,90.0,top
R11,140.2,2.1,90.0,top
R12,16.3,9.725,180.0,top
R13,16.3,12.725,180.0,top
R14,16.3,15.725,180.0,top
R15,16.3,18.725,180.0,top
R16,16.3,20.225,0.0,top
R17,16.3,17.225,0.0,top
R18,61.7,20.7,180.0,top
R19,61.7,13.7,180.0,top
R2,8.1,18.725,0.0,top
R20,16.3,14.225,0.0,top
R21,61.7,19.2,180.0,top
R22,61.7,12.2,180.0,top
R23,61.7,17.7,180.0,top
R24,61.7,10.7,180.0,top
R25,16.3,11.225,0.0,top
R26,61.7,16.2,180.0,top
R27,61.7,9.2,180.0,top
R28,51.6,21.8,270.0,top
R29,24.4,23.45,180.0,top
R3,8.1,9.725,0.0,top
R30,32.0,23.45,0.0,top
R31,39.7,23.45,0.0,top
R32,47.4,23.45,0.0,top
R33,70.225,8.1,0.0,top
R34,70.2,6.5,0.0,top
R35,107.975,19.6,180.0,top
R36,107.975,10.5,180.0,top
R37,107.975,12.0,180.0,top
R38,93.1,10.6,0.0,top
R39,107.875,2.3,180.0,top
R4,8.1,12.725,0.0,top
R40,107.975,16.6,180.0,top
R41,107.975,18.1,180.0,top
R42,54.9,21.8,90.0,top
R43,53.4,21.8,90.0,top
R5,8.1,14.225,180.0,top
R6,8.1,11.225,180.0,top
R7,140.175,5.2,270.0,top
R8,8.1,20.225,180.0,top
R9,8.1,17.225,180.0,top
U1,70.9875,15.0,270.0,top
U10,30.25,26.93,90.0,top
U11,37.9,26.93,90.0,top
U12,45.55,26.93,90.0,top
U13,113.9,19.78,270.0,top
U14,138.1,15.0,180.0,top
U15,133.95,18.2125,270.0,top
U16,88.5125,11.9125,90.0,top
U17,70.2,1.9,0.0,top
U18,100.9,15.0,270.0,top
U19,113.9,10.3,270.0,top
U2,11.4,11.925,180.0,top
U7,13.0,18.025,0.0,top
U8,13.1975,25.9475,180.0,top
U9,22.6,26.93,90.0,top
Y1,93.1,19.2,90.0,top
